epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.571,1.78833,2.88995,1.69811,0.48457,0.43839,0.41151,0.17732,1.51807,7.74567,1.37759,0.000555037,0.000555037,0.000555037
2,229.271,1.82888,2.12422,1.71588,0.44567,0.41821,0.39158,0.17212,1.5286,10.0132,1.38581,0.000973254,0.000973254,0.000973254
3,338.848,1.78815,1.99848,1.6837,0.48709,0.41445,0.40263,0.17788,1.62877,7.36337,1.46864,0.00125394,0.00125394,0.00125394
4,447.409,1.73985,1.85661,1.64459,0.56854,0.49051,0.51831,0.25186,1.42919,3.15799,1.30313,0.00104813,0.00104813,0.00104813
5,556.521,1.66642,1.73161,1.59312,0.6093,0.50391,0.54517,0.2647,1.44843,3.57993,1.32498,0.000841835,0.000841835,0.000841835
6,665.955,1.60519,1.61545,1.54223,0.65883,0.55395,0.61379,0.32085,1.34483,2.3782,1.23818,0.000635544,0.000635544,0.000635544
7,774.976,1.56284,1.52042,1.51086,0.65577,0.58114,0.6363,0.33357,1.29636,2.89724,1.19501,0.000429253,0.000429253,0.000429253
8,884.166,1.50163,1.42662,1.46311,0.70273,0.60059,0.66523,0.3612,1.25555,1.86103,1.17004,0.000222961,0.000222961,0.000222961
