epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.064,1.49462,1.29894,1.42753,0.66891,0.59558,0.64006,0.3398,1.29597,3.72735,1.20065,0.000555037,0.000555037,0.000555037
2,212.001,1.54297,1.37411,1.46621,0.60881,0.54489,0.57952,0.28101,1.39388,2.52326,1.28103,0.000973254,0.000973254,0.000973254
3,314.074,1.54004,1.37799,1.46134,0.61491,0.56238,0.59277,0.30067,1.36828,3.12603,1.28775,0.00125394,0.00125394,0.00125394
4,413.423,1.47472,1.2727,1.41475,0.66065,0.57674,0.62557,0.32929,1.31273,1.52119,1.23606,0.00104813,0.00104813,0.00104813
5,511.765,1.38098,1.13484,1.35006,0.67591,0.60997,0.66325,0.35643,1.29416,1.68506,1.21777,0.000841835,0.000841835,0.000841835
6,606.512,1.27761,1.00654,1.28013,0.68884,0.62052,0.68087,0.37786,1.27517,1.2106,1.20741,0.000635544,0.000635544,0.000635544
7,701.373,1.17755,0.87871,1.21397,0.7123,0.65023,0.71293,0.3959,1.25219,1.28539,1.19939,0.000429253,0.000429253,0.000429253
8,796.123,1.05556,0.74843,1.13883,0.72233,0.64647,0.7112,0.39956,1.26517,1.051,1.21428,0.000222961,0.000222961,0.000222961
